Host Country,United States of America,United Kingdom
Switzerland,1. L Permit Application; 2. Long-Term Visa (Type D) Application; 3. Registration [L Permit (Short-Term Assignment) Non-EU/EFTA]; 1. B Permit Application; 2. Long-Term Visa (Type D) Application; 3. Registration; 4. Multiple-Entry Visa [B Permit (Long-Term Assignment) Non-EU/EFTA]; 1. Local Labour Market Search; 2. B Permit Application; 3. Long-Term Visa (Type D) Application; 4. Registration; 5. Multiple-Entry Visa; 6. Collection of B Permit [B Permit (Long-Term Local Hire) Non-EU/EFTA]; 1. 90-Day Notification for Assignments [90-Day Notification for Assignments from Within the EU/EFTA/UK]; 1. 120-Day Work Permit Application; 2. Type C Visa Application [120-Day Work Permit]; 1. Short-Term Permit (Up to 4 Months) Application; 2. Long-Term Visa (Type D) Application [Short-Term Permit (Up to 4 Months) Assignment ]; 1. Local Labour Market Search; 2. G Permit Application [G Permit (Cross-Border Commuter) Non-EU/EFTA]; 1. Local Labour Market Search; 2. L Permit Application; 3. Long-Term Visa (Type D) Application; 4. Registration; 5. Multiple-Entry Visa [L Permit (Short-Term Local Hire) Non-EU/EFTA]; 1. Local Labour Market Search; 2. Short-Term Permit (Up to 4 Months) Application; 3. Long-Term Visa (Type D) Application [Short-Term Permit (Up to 4 Months) Local Hire],1. L Permit Application; 2. Registration [L Permit (Short-Term Assignment) EU/EFTA/UK]; 1. B Permit Application; 2. Registration [B Permit (Long-Term Assignment) EU/EFTA/UK]; 1. Local Labour Market Search; 2. B Permit Application; 3. Registration; 4. Collection of B Permit [B Permit (Long-Term Local Hire) Non-EU/EFTA]; 1. 90-Day Notification for Assignments [90-Day Notification for Assignments from Within the EU/EFTA/UK]; 1. 120-Day Work Permit Application; 2. Type C Visa Application [120-Day Work Permit]; 1. Short-Term Permit (Up to 4 Months) Application; 2. Long-Term Visa (Type D) Application [Short-Term Permit (Up to 4 Months) Assignment ]; 1. Local Labour Market Search; 2. G Permit Application [G Permit (Cross-Border Commuter) Non-EU/EFTA]; 1. Local Labour Market Search; 2. L Permit Application; 3. Registration [L Permit (Short-Term Local Hire) Non-EU/EFTA]; 1. Local Labour Market Search; 2. Short-Term Permit (Up to 4 Months) Application; 3. Long-Term Visa (Type D) Application [Short-Term Permit (Up to 4 Months) Local Hire]
Taiwan,1. Work Permit Application; 2. Resident Visa Application; 3. Alien Resident Certificate (ARC) Application [Work Permit]; 1. Work Permit Application [Work Permit (Contract Fulfilment - Under 90 Days)],1. Work Permit Application; 2. Resident Visa Application; 3. Alien Resident Certificate (ARC) Application [Work Permit]; 1. Work Permit Application [Work Permit (Contract Fulfilment - Under 90 Days)]
Thailand,1. Pre-Work Permit Approval (PWPA) from Ministry of Labour; 2. Non-Immigrant B Visa Application; 3. Initial Work Permit Application; 4. Non-Immigrant Visa Extension Application (OSSC); 5. Re-Entry Permit [Non-Immigrant B Visa and Work Permit (Expedited)]; 1. BOI Position Approval Application; 2. Request for Cooperation for Visa Stamp; 3. Non-Immigrant B Visa Application; 4. Application for Appointment of Foreign National in Approved Position; 5. Initial Work Permit Application and Non-Immigrant Visa Extension (OSSC); 6. Re-Entry Permit [Non-Immigrant B Visa and Work Permit (Board of Investment)]; 1. Urgent Work Permit Application [Urgent Work Permit (Post-Arrival)]; 1. Urgent Work Permit Application; 2. Non-Immigrant B Visa Application; 3. Urgent Work Permit Collection [Urgent Work Permit (Pre-Approval)]; 1. Pre-Approval from Ministry of Labour; 2. Non-Immigrant B Visa Application; 3. Work Permit Application; 4. Visa Extension Application; 5. Re-Entry Permit [Non-Immigrant B Visa and Work Permit (Standard)]; 1. Qualification Endorsement Application; 2. Smart Visa Application [Smart Visa (Consular)],1. Pre-Work Permit Approval (PWPA) from Ministry of Labour; 2. Non-Immigrant B Visa Application; 3. Initial Work Permit Application; 4. Non-Immigrant Visa Extension Application (OSSC); 5. Re-Entry Permit [Non-Immigrant B Visa and Work Permit (Expedited)]; 1. BOI Position Approval Application; 2. Request for Cooperation for Visa Stamp; 3. Non-Immigrant B Visa Application; 4. Application for Appointment of Foreign National in Approved Position; 5. Initial Work Permit Application and Non-Immigrant Visa Extension (OSSC); 6. Re-Entry Permit [Non-Immigrant B Visa and Work Permit (Board of Investment)]; 1. Urgent Work Permit Application [Urgent Work Permit (Post-Arrival)]; 1. Urgent Work Permit Application; 2. Non-Immigrant B Visa Application; 3. Urgent Work Permit Collection [Urgent Work Permit (Pre-Approval)]; 1. Pre-Approval from Ministry of Labour; 2. Non-Immigrant B Visa Application; 3. Work Permit Application; 4. Visa Extension Application; 5. Re-Entry Permit [Non-Immigrant B Visa and Work Permit (Standard)]; 1. Qualification Endorsement Application; 2. Smart Visa Application [Smart Visa (Consular)]
Trinidad and Tobago,1. Work Permit Application; 2. Work Permit Endorsement [Work Permit  ],1. Work Permit Application; 2. Work Permit Endorsement [Work Permit  ]
Turkey,"1. Short-Term Residence Permit Application; 2. Online Work Permit Application; 3. Social Security Registration [Work Permit (Post-Arrival Change of Status)]; 1. Online Work Visa Registration; 2. Consular Work Visa Application; 3. Online Work Permit Application; 4. Visa Collection; 5. Consular Visa/E-Visa Application for Dependents; 6. Social Security Registration [Work Permit (Consular Application)]; 1. Visa Application [Assembly, Maintenance and Service (AMS) Visa (Under 90 Days)]","1. Short-Term Residence Permit Application; 2. Online Work Permit Application; 3. Social Security Registration [Work Permit (Post-Arrival Change of Status)]; 1. Online Work Visa Registration; 2. Consular Work Visa Application; 3. Online Work Permit Application; 4. Visa Collection; 5. Consular Visa/E-Visa Application for Dependents; 6. Social Security Registration [Work Permit (Consular Application)]; 1. Visa Application [Assembly, Maintenance and Service (AMS) Visa (Under 90 Days)]"
Ukraine,1. Employment Permit Application; 2. D Visa Application; 3. Temporary Residence Permit (ID Card) Application; 4. Address Registration [Standard Work Permit (Ltd or Branch Office)]; 1. Accreditation Card Application; 2. Invitation Letter; 3. D Visa Application; 4. Temporary Residence Permit (ID Card) Application; 5. Address Registration [Accreditation Card ],1. Employment Permit Application; 2. D Visa Application; 3. Temporary Residence Permit (ID Card) Application; 4. Address Registration [Standard Work Permit (Ltd or Branch Office)]; 1. Accreditation Card Application; 2. Invitation Letter; 3. D Visa Application; 4. Temporary Residence Permit (ID Card) Application; 5. Address Registration [Accreditation Card ]
United Arab Emirates,1. Employment Entry Permit (E-Visa); 2. Medical Examination and Biometrics; 3. Residence Visa Endorsement and Free Zone ID Card Issuance; 4. Dependent Entry Permit Application; 5. Medical Examination and Biometrics [Employment Permit to Free Zones]; 1. Mission Card Quota Application; 2. Medical Examination (If Applicable); 3. Mission Card Application [Mission Card (Under 90 Days) to Dubai Mainland]; 1. Quota Application; 2. Ministry of Labour Offer Letter; 3. Employment E-Visa Application; 4. Medical Examination; 5. Biometrics Collection and Online Emirates ID Card Application; 6. Labour Card Application; 7. Residence Visa Endorsement; 8. Dependent Entry Permit Application; 9. Medical Examination [Employment Permit  to Dubai Mainland]; 1. Quota Application; 2. Ministry of Labour Offer Letter; 3. Employment E-Visa Application; 4. Visit Visa for Dependents; 5. Medical Examination and Biometrics Appointment; 6. Residence Visa Endorsement; 7. Labour Card Application; 8. Dependent Entry Permit Application; 9. Medical Examination and Biometrics Appointment [Employment Permit  to Abu Dhabi Mainland],1. Employment Entry Permit (E-Visa); 2. Medical Examination and Biometrics; 3. Residence Visa Endorsement and Free Zone ID Card Issuance; 4. Dependent Entry Permit Application; 5. Medical Examination and Biometrics [Employment Permit to Free Zones]; 1. Mission Card Quota Application; 2. Medical Examination (If Applicable); 3. Mission Card Application [Mission Card (Under 90 Days) to Dubai Mainland]; 1. Quota Application; 2. Ministry of Labour Offer Letter; 3. Employment E-Visa Application; 4. Medical Examination; 5. Biometrics Collection and Online Emirates ID Card Application; 6. Labour Card Application; 7. Residence Visa Endorsement; 8. Dependent Entry Permit Application; 9. Medical Examination [Employment Permit  to Dubai Mainland]; 1. Quota Application; 2. Ministry of Labour Offer Letter; 3. Employment E-Visa Application; 4. Visit Visa for Dependents; 5. Medical Examination and Biometrics Appointment; 6. Residence Visa Endorsement; 7. Labour Card Application; 8. Dependent Entry Permit Application; 9. Medical Examination and Biometrics Appointment [Employment Permit  to Abu Dhabi Mainland]
United Kingdom,1. Certificate of Sponsorship; 2. Attend Visa Application Centre to Complete Biometrics and Entry Clearance Application; 3. Biometric Residence Permit Collection [Skilled Worker Visa]; 1. Certificate of Sponsorship; 2. Biometrics and Entry Clearance Application; 3. Biometric Residence Permit Collection [Intra-Company Transfer (New)]; 1. Certificate of Sponsorship; 2. Biometrics and Entry Clearance Application; 3. Biometric Residence Permit Collection [Intra-Company Transfer - Graduate Trainee (New)]; 1. Certificate of Sponsorship; 2. Biometrics and Entry Clearance Application; 3. Police Registration; 4. Biometric Residence Permit Collection [Tier 5 (Temporary Workers) Government Authorised Exchange ],N/A
United States of America,N/A,1. ESTA Authorisation [Visa Waiver Program (VWP)]; 1. Application for Certificate of Eligibility for J-1 Visa; 2. J-1 Approval by Exchange Organisation; 3. J-1 Visa Interview [J-1 for Training Programme for Trainee/Intern]; 1. L-1 and L-2 Visa Interview; 2. Employment Authorisation for Dependent [L-1 Blanket in Place - Intra-Company Transfer under an L-1 Blanket Petition]; 1. E-2 Visa Interview [E-2 (Treaty Investor Status)]; 1. L-1 Petition (Premium Processing); 2. L-1 and L-2 Visa Interview; 3. Employment Authorisation for Dependent [L-1 Intra-Company Transfer (Company Trading for Over 1 Year)]; 1. Labor Condition Application (LCA); 2. H-1B Petition; 3. H-1B and H-4 Visa Interview [H-1B Specialty Worker]; 1. Applicant Located in the US; 2. I-140 Immigrant Visa Petition; 3. I-485 Adjustment to Status (Applicant in the US); 4. Biometrics Collection; 5. USCIS Interview; 6. Employment Authorisation [EB-1 Multinational Executive or Manager Green Card]; 1. Applicant Located in the US; 2. Prevailing Wage Determination (PWD) Request; 3. Job Order; 4. PERM Online Application; 5. Department of Labor Adjudication; 6. I-140 Immigrant Visa Petition; 7. I-485 Adjustment to Status (Applicant in the US); 8. Biometrics Collection; 9. USCIS Interview; 10. Employment Authorisation for Dependent [Employment-Based Green Card (PERM Labor Certification Required)]; 1. B-1 Visa Interview [B-1 Visitor (Under 180 Days)]; 1. L-1 Petition (Premium Processing); 2. L-1 and L-2 Visa Interview; 3. Employment Authorisation for Dependent [L-1 Intra-Company Transfer (New Office)]
Uruguay,1. Permanent Residence Application; 2. Provisional ID Card Application and Collection; 3. Permanent Residence Approval; 4. Definitive ID Card Application [Permanent Residence]; 1. Temporary Residence Application; 2. Temporary Residence Approval; 3. Temporary ID Card Application [Temporary Residence]; 1. Provisional Identity Sheet (Hoja Provisoria de Identidad) Application; 2. Provisional Identity Sheet (Hoja Provisoria de Identidad) Approval; 3. Foreign ID Card Application [Provisional Identity Sheet (Hoja Provisoria de Identidad) (Up to 180 Days)],1. Visitor Visa Application; 2. Permanent Residence Application; 3. Provisional ID Card Application and Collection; 4. Permanent Residence Approval; 5. Definitive ID Card Application [Permanent Residence]; 1. Visitor Visa Application; 2. Temporary Residence Application; 3. Temporary Residence Approval; 4. Temporary ID Card Application [Temporary Residence]; 1. Provisional Identity Sheet (Hoja Provisoria de Identidad) Application; 2. Visitor Visa Application; 3. Provisional Identity Sheet (Hoja Provisoria de Identidad) Approval; 4. Foreign ID Card Application [Provisional Identity Sheet (Hoja Provisoria de Identidad) (Up to 180 Days)]
Venezuela,1. Work Permit Application; 2. TR-L Visa Authorisation from SAIME; 3. TR-L Visa Application; 4. ID Card Pre-Approval; 5. ID Card Application [TR-L Visa (Transeunte Laboral) - Non-Resident Work Permit]; 1. TR-N Visa Application; 2. Entry to Venezuela [TR-N Visa (Transeunte de Negocios)],1. Work Permit Application; 2. TR-L Visa Authorisation from SAIME; 3. TR-L Visa Application; 4. ID Card Pre-Approval; 5. ID Card Application [TR-L Visa (Transeunte Laboral) - Non-Resident Work Permit]; 1. TR-N Visa Application; 2. Entry to Venezuela [TR-N Visa (Transeunte de Negocios)]
Vietnam,1. Visa Pre-Approval Application; 2. Visa Endorsement and Collection; 3. Residence Registration; 4. Work Permit Application; 5. Temporary Residence Card or Visa Extension Application [Work Permit (Assignment)]; 1. Job Position Approval; 2. Visa Pre-Approval Application; 3. Visa Endorsement and Collection; 4. Residence Registration; 5. Work Permit Application; 6. Temporary Residence Card or Visa Extension Application [Work Permit (Local Hire)],1. Visa Pre-Approval Application; 2. Visa Endorsement and Collection; 3. Residence Registration; 4. Work Permit Application; 5. Temporary Residence Card or Visa Extension Application [Work Permit (Assignment)]; 1. Job Position Approval; 2. Visa Pre-Approval Application; 3. Visa Endorsement and Collection; 4. Residence Registration; 5. Work Permit Application; 6. Temporary Residence Card or Visa Extension Application [Work Permit (Local Hire)]
Zambia,1. Business Visa Application [Temporary Assignments (Under 30 Days)]; 1. Local Labour Market Search; 2. Employment Permit Application; 3. Study Permit Application; 4. Residence Endorsement [Employment Permit ]; 1. Business Visa Application; 2. Temporary Employment Permit Application; 3. Temporary Employment Permit Collection and Endorsement [Temporary Employment Permit (Under 6 Months)],1. Business Visa Application [Temporary Assignments (Under 30 Days)]; 1. Local Labour Market Search; 2. Employment Permit Application; 3. Study Permit Application; 4. Residence Endorsement [Employment Permit ]; 1. Business Visa Application; 2. Temporary Employment Permit Application; 3. Temporary Employment Permit Collection and Endorsement [Temporary Employment Permit (Under 6 Months)]
